0:0:0:0:0:0:0:1 - - [19/Nov/2018:09:18:31 +0700] "GET /QuanLyNhanSuVaTienLuong/QuanLyCheDo_BaoHiem_LoiIch.jsp HTTP/1.1" 200 9608
0:0:0:0:0:0:0:1 - - [19/Nov/2018:09:18:31 +0700] "GET /QuanLyNhanSuVaTienLuong/images/checkmark.png HTTP/1.1" 404 1046
127.0.0.1 - - [19/Nov/2018:09:18:57 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:18:57 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:18:57 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:18:57 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:18:57 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:18:57 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [19/Nov/2018:09:18:57 +0700] "GET /manager/text/list HTTP/1.1" 200 879
127.0.0.1 - - [19/Nov/2018:09:18:57 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:18:57 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:19:15 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:19:15 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:19:15 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:19:15 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:19:15 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:19:15 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [19/Nov/2018:09:19:16 +0700] "GET /manager/text/list HTTP/1.1" 200 879
127.0.0.1 - - [19/Nov/2018:09:19:16 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:19:16 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:20:25 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:20:25 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:20:25 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:20:25 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:20:25 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:20:25 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [19/Nov/2018:09:20:25 +0700] "GET /manager/text/list HTTP/1.1" 200 879
127.0.0.1 - - [19/Nov/2018:09:20:25 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:20:25 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:20:26 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
